FAM_0001;REF
HALDEX  ;032026509                
HALDEX  ;032030309                
HALDEX  ;032030409                
HALDEX  ;032030809                
HALDEX  ;0320308220RTC            
HALDEX  ;032030909                
HALDEX  ;032031209                
HALDEX  ;0320312160RTC            
HALDEX  ;0320312220RTC            
HALDEX  ;032031409                
HALDEX  ;032031509                
HALDEX  ;0320315160RTC            
HALDEX  ;0320315220RTC            
HALDEX  ;032031709                
HALDEX  ;032032209                
HALDEX  ;032032309                
HALDEX  ;032032409                
HALDEX  ;032032509                
HALDEX  ;032032609                
HALDEX  ;03203269766              
HALDEX  ;032032709                
HALDEX  ;032033209                
HALDEX  ;032033709                
HALDEX  ;032034709                
HALDEX  ;032034909                
HALDEX  ;032035009                
HALDEX  ;032035409                
HALDEX  ;032036709                
HALDEX  ;032037009                
HALDEX  ;032037709                
HALDEX  ;032038109                
HALDEX  ;032039309                
HALDEX  ;032040009                
HALDEX  ;032040109                
HALDEX  ;032040209                
HALDEX  ;032040309                
HALDEX  ;032040409                
HALDEX  ;032040509                
HALDEX  ;032040609                
HALDEX  ;032040709                
HALDEX  ;032040909                
HALDEX  ;032041009                
HALDEX  ;032041109                
HALDEX  ;032041409                
HALDEX  ;032041509                
HALDEX  ;032041609                
HALDEX  ;032041709                
HALDEX  ;032041809                
HALDEX  ;032043209                
HALDEX  ;032043609                
HALDEX  ;032043709                
HALDEX  ;032043809                
HALDEX  ;032043909                
HALDEX  ;032044009                
HALDEX  ;032044209                
HALDEX  ;032044509                
HALDEX  ;032045209                
HALDEX  ;032046009                
HALDEX  ;032046109                
HALDEX  ;032046209                
HALDEX  ;032046609                
HALDEX  ;032046709                
HALDEX  ;032046809                
HALDEX  ;032047109                
HALDEX  ;032047309                
HALDEX  ;032048209                
HALDEX  ;032048309                
HALDEX  ;032048409                
HALDEX  ;032048509                
HALDEX  ;032048609                
HALDEX  ;032048709                
HALDEX  ;032048809                
HALDEX  ;032048909                
HALDEX  ;032049009                
HALDEX  ;032049109                
HALDEX  ;032049209                
HALDEX  ;032049309                
HALDEX  ;032049409                
HALDEX  ;032049709                
HALDEX  ;032050309                
HALDEX  ;032050409                
HALDEX  ;032051309                
HALDEX  ;032051409                
HALDEX  ;032051509                
HALDEX  ;032052209                
HALDEX  ;032052409                
HALDEX  ;032052509                
HALDEX  ;032052909                
HALDEX  ;032053109                
HALDEX  ;032053509                
HALDEX  ;032053709                
HALDEX  ;032054309                
HALDEX  ;032054409                
HALDEX  ;032054509                
HALDEX  ;032054909                
HALDEX  ;032055009                
HALDEX  ;032055509                
HALDEX  ;032055909                
HALDEX  ;032056009                
HALDEX  ;032056209                
HALDEX  ;032056309                
HALDEX  ;032056509                
HALDEX  ;032056809                
HALDEX  ;032056909                
HALDEX  ;032057109                
HALDEX  ;032057209                
HALDEX  ;032057309                
HALDEX  ;032059609                
HALDEX  ;032059709                
HALDEX  ;032059809                
HALDEX  ;032059909                
HALDEX  ;032060009                
HALDEX  ;032060109                
HALDEX  ;032060909                
HALDEX  ;032063809                
HALDEX  ;032063909                
HALDEX  ;032064109                
HALDEX  ;032070609                
HALDEX  ;032070809                
HALDEX  ;032071009                
HALDEX  ;032071109                
HALDEX  ;032071309                
HALDEX  ;032071409                
HALDEX  ;032071609                
HALDEX  ;032072809                
HALDEX  ;032072819                
HALDEX  ;032073209                
HALDEX  ;032073219                
HALDEX  ;032073709                
HALDEX  ;032075009                
HALDEX  ;032075109                
HALDEX  ;03210112182              
HALDEX  ;03210115182              
HALDEX  ;03210115222              
HALDEX  ;03210208522              
HALDEX  ;03210218222              
HALDEX  ;03210222262              
HALDEX  ;03210308082              
HALDEX  ;03210310082              
HALDEX  ;03210310102              
HALDEX  ;03210312102              
HALDEX  ;03210312122              
HALDEX  ;03210315152              
HALDEX  ;03210318152              
HALDEX  ;03210318182              
HALDEX  ;03210322222              
HALDEX  ;03210618182              
HALDEX  ;03211110062              
HALDEX  ;03211112062              
HALDEX  ;0321112161               
HALDEX  ;032111309                
HALDEX  ;03211518182              
HALDEX  ;032120209                
HALDEX  ;03212310082              
HALDEX  ;03212408122              
HALDEX  ;03212410142              
HALDEX  ;03212606032              
HALDEX  ;03212608022              
HALDEX  ;03212608032              
HALDEX  ;03212608632              
HALDEX  ;03212610022              
HALDEX  ;03212610032              
HALDEX  ;03212612022              
HALDEX  ;03212612032              
HALDEX  ;03212612832              
HALDEX  ;03212615022              
HALDEX  ;03212615032              
HALDEX  ;03212618022              
HALDEX  ;03212618032              
HALDEX  ;03212708022              
HALDEX  ;03212710022              
HALDEX  ;03212712021              
HALDEX  ;03212712032              
HALDEX  ;03212715032              
HALDEX  ;03212806032              
HALDEX  ;03212808032              
HALDEX  ;03212810032              
HALDEX  ;03212812032              
HALDEX  ;032150001S               
HALDEX  ;032189409                
HALDEX  ;032200001S               
HALDEX  ;032206082                
HALDEX  ;0322108121RTC            
HALDEX  ;0322108141RTC            
HALDEX  ;0322108381RTC            
HALDEX  ;0322112121RTC            
HALDEX  ;0322112381RTC            
HALDEX  ;0322118341               
HALDEX  ;032253013S               
HALDEX  ;032283816161             
HALDEX  ;03230106102              
HALDEX  ;03230106122              
HALDEX  ;03230106142              
HALDEX  ;03230106162              
HALDEX  ;03230106222              
HALDEX  ;03230108102              
HALDEX  ;03230108122              
HALDEX  ;03230108125              
HALDEX  ;03230108142              
HALDEX  ;0323010816               
HALDEX  ;03230108162              
HALDEX  ;03230108165              
HALDEX  ;0323010822               
HALDEX  ;03230108222              
HALDEX  ;03230108225              
HALDEX  ;03230110122              
HALDEX  ;03230110142              
HALDEX  ;0323011016               
HALDEX  ;03230110162              
HALDEX  ;03230110182              
HALDEX  ;0323011022               
HALDEX  ;03230110222              
HALDEX  ;03230110225              
HALDEX  ;03230112122              
HALDEX  ;03230112142              
HALDEX  ;03230112162              
HALDEX  ;03230112165              
HALDEX  ;0323011222               
HALDEX  ;03230112222              
HALDEX  ;03230112225              
HALDEX  ;03230115162              
HALDEX  ;03230115222              
HALDEX  ;03230118222              
HALDEX  ;03230302062              
HALDEX  ;0323030208               
HALDEX  ;03230302082              
